Datum,temp_mean_all,surface_temp_mean_all,relhum_mean_all,windspeed_mean,precipitation_sum_all,pressure_mean_all,global_radiation_short_wave_mean,global_radiation_long_wave_mean,precipitation_sum_730,precipitation_sum_550
12/10/2021,9.27,8.31,92.46,1.54,7.9,1004.82,41.35,328.82,5.6,5.6
13/10/2021,8.74,8.23,90.05,1.34,0.1,1009.02,60.1,327.34,0.1,0.1
14/10/2021,11.05,10.88,89.8,1.79,0.3,1007.87,34.12,359.13,0.2,0.2
15/10/2021,10.18,9.1,81.88,1.76,1,1002.58,69.17,327.96,1,1
16/10/2021,5.68,4.96,88.91,0.63,0,1006.57,76.38,293.53,0,0
17/10/2021,7.42,6.92,88.29,0.69,0,1005.59,62.78,318.13,0,0
18/10/2021,10.16,9.45,79.39,1.05,0,1006.86,91.13,311.58,0.4,0.4
19/10/2021,14.2,13.34,89.4,1.47,0.6,1002.16,19.43,366.88,0.2,0.2
20/10/2021,15.65,14.42,76.91,2.17,2.1,990.27,30.36,358.35,5.8,5.6
21/10/2021,9.92,8.54,84.56,3.52,9.3,985.86,39.15,327.43,5.6,5.8
22/10/2021,7.53,6.54,84.66,2.86,3.3,1001.14,49.94,309.64,3.4,3.3
23/10/2021,7.34,5.76,87.07,1.15,0.1,1011.48,90.1,286.36,0,0.1
24/10/2021,7.95,5.96,76.6,0.98,0,1008.4,98.53,275.72,0,0
25/10/2021,9.16,8.34,83.74,1.14,1.5,1003.21,66.87,318.35,1.5,1.5
26/10/2021,11.87,11.3,84.51,1.9,0,1005.19,53.86,348.95,0,0
27/10/2021,12.92,12.08,82.53,1.48,0,1007.41,49.01,342.25,0,0
28/10/2021,11.59,10.18,78.5,1.22,0,1001.61,87.01,296.99,0,0
29/10/2021,13.27,11.96,67.56,1.48,0,993.73,70.21,318.16,0.3,0.1
30/10/2021,12.25,10.84,79.86,1.45,1.8,989.09,30.49,353.96,1.5,1.7
31/10/2021,13.02,12.08,86.71,1.43,5.5,987.76,60.15,336.39,5.5,5.5
01/11/2021,10.14,8.37,77.51,1.62,0,984.87,71.53,296.62,0,0
02/11/2021,7.81,6.91,85.06,1,0,984.98,51.8,308.22,0,0
03/11/2021,5.28,4.36,96.51,0.91,3,985.96,15.6,317.46,3,3
04/11/2021,6.37,6.33,93.8,1.71,0,991.22,27.49,330.81,0,0
05/11/2021,7.5,7.16,93.82,1.3,0,1006.18,34.57,328.69,0,0
06/11/2021,7.92,7.47,83.8,2.12,0,1010.37,49.78,322.03,2,1.4
07/11/2021,8.56,8.08,88.2,2.96,5.9,1001.08,44.41,328.19,3.9,4.5
08/11/2021,7.58,7.24,90.7,1.25,0.2,1006.97,51.65,317.29,0.2,0.2
09/11/2021,6.62,4.45,84.04,0.78,0,1010.79,62.66,283.41,0,0
10/11/2021,4.48,2.36,87.08,0.66,0,1009.23,50.15,276.04,0,0
11/11/2021,3.86,3.46,90.72,0.64,0,1008.89,50.53,299.58,0,0
12/11/2021,6.62,5.73,82.32,1,0,1001.92,59.58,295.39,0.8,0.7
13/11/2021,7.55,7.18,92.2,1.1,1.6,997.09,10.97,346.09,0.8,0.9
14/11/2021,7.79,7.69,90.72,1.55,0,1006.58,25.86,341.42,0,0
15/11/2021,6.24,6.09,87.43,1.79,0,1009.86,6.12,338.36,0,0
16/11/2021,5.06,4.92,92.31,0.81,0.6,1006.99,5.78,333.34,0.6,0.6
17/11/2021,5.95,5.36,95.01,1.45,1.1,1006.19,11.86,325.54,1.2,1.2
18/11/2021,7.43,6.78,90.8,1.95,0.1,1012.19,41.37,312.76,0.3,0.2
19/11/2021,9.68,9.23,96.15,1.93,0.8,1013.41,7.85,353.34,0.5,0.6
20/11/2021,9.04,8.54,87.41,1.42,0,1008.22,9.6,350.26,0.6,0.6
21/11/2021,6.55,5.44,92.93,1.4,1.5,997.76,16.12,319,0.9,0.9
22/11/2021,2.89,1.64,89.26,1.32,0,1009.52,35.18,284.01,0,0
23/11/2021,2.35,2.12,98.84,0.87,1.1,1013.99,13.69,318.98,1.1,1.1
24/11/2021,5.29,5,89.67,0.5,0,1006.41,22.11,326.84,0,0
25/11/2021,2.9,2.39,91.76,1.18,0.2,995.82,16.75,309.23,1.1,0.6
26/11/2021,3.17,2.83,91.02,1.75,3.9,980.69,17.94,318.79,3.1,3.6
27/11/2021,2.43,1.71,86.86,1.29,0.1,973.98,29.8,294.18,0,0
28/11/2021,1.84,1.41,91.03,1.27,0.5,982.04,24.09,296.16,0.5,0.5
29/11/2021,1.45,0.62,95.14,1.67,1.9,991.49,9.4,298.19,6.1,5.6
30/11/2021,5.84,5.39,95.91,2.99,25.1,991.19,4.14,341.63,22.5,23
01/12/2021,7.18,6.23,91.41,3.43,6.4,979.72,5.74,333.19,5.1,5.1
02/12/2021,2.33,1.41,90.45,2.44,1.3,986.85,8.44,298.44,1,1
03/12/2021,2.22,1.94,88.8,2.34,0,992.38,18.25,312.81,0,0
04/12/2021,3.92,3.61,92.03,1.48,7.2,982.03,14.44,325.86,7.2,7.2
05/12/2021,4.01,3.39,86.37,1.18,1.6,987.59,21.47,312.65,1.6,1.6
06/12/2021,1.13,0.33,94.89,0.78,0.7,996.16,22.1,285.8,2.5,2.5
07/12/2021,3.19,2.47,87.31,1.75,2,990.28,23.76,295.49,0.8,0.8
08/12/2021,4.37,2.98,84.11,1.28,0.6,982.66,22.72,296.77,0,0
09/12/2021,2.17,0.67,90.72,1.11,0.6,988.2,15.58,289,0.6,0.6
10/12/2021,1.88,0.12,82.42,1.11,0,980.65,22.03,268.66,0,0
11/12/2021,0.38,-0.79,97.85,0.88,0.2,998.83,7.01,293.12,0.8,0.5
12/12/2021,6.06,5.5,94.31,1.82,2.1,1006.84,5.99,338.98,1.7,2
13/12/2021,8.33,7.46,91.52,1.1,0.2,1011.26,6.63,345.85,0.1,0
14/12/2021,7.23,6.83,93.06,1.31,0.3,1011.85,13.2,343,0.3,0.4
15/12/2021,8.25,7.7,95.56,1.46,0.4,1015.43,4.47,347.5,0.3,0.3
16/12/2021,8.1,7.56,96.14,0.84,0,1021.03,9.25,345.92,0.1,0.1
17/12/2021,7.46,6.94,93.93,0.91,0.4,1023.89,7.06,344.92,0.4,0.3
18/12/2021,6.13,6.05,97.68,0.84,0.4,1022.46,6.05,341.83,0.3,0.4
19/12/2021,5.67,5.41,95.94,2.02,0.3,1014.98,5.79,336.85,0.3,0.3
20/12/2021,2.4,0.09,85.38,0.96,0,1011.8,19.57,265.92,0,0
21/12/2021,-3.64,-5.56,95.09,0.64,0,1010.74,16.44,238.49,0,0
22/12/2021,-3.06,-5.1,85.61,0.8,0,1008.04,21.57,243.37,0,0
23/12/2021,2.86,1.95,78.18,1.73,3.7,994.99,16.85,308.38,7.3,7.2
24/12/2021,7.25,6.66,95.75,2.66,7.4,988.72,8.94,345.77,4.1,4.2
25/12/2021,-0.63,-0.97,81.82,2.77,0.3,992.5,11.9,281.32,0,0
26/12/2021,-1.09,-0.97,81.29,1.05,0.1,991.08,13.13,307.03,0.2,0.2
27/12/2021,6.11,5.26,91.05,1.13,0.7,984.82,19.43,326.41,0.6,0.6
28/12/2021,8.06,6.84,91.65,1.66,8.4,978.89,14.65,331.43,9.5,9.5
29/12/2021,8.87,8.3,94.76,2.47,4.8,990.01,13.04,350.02,6.7,5.6
30/12/2021,12.92,12.1,91.78,2.9,4.1,999.44,11,371.24,1.1,2.2
31/12/2021,12.99,12.02,82.01,2.61,0.2,1003.51,19.65,353.48,0.2,0.2
