date,temp_mean_all,surface_temp_mean_all,soil_temp_10_mean_all,soil_temp_20_mean_all,soil_temp_50_mean_all,relhum_mean_all,abshum_mean_all,dew_point_temp_mean_all,windspeed_mean,windspeed_az_mean,windspeed_el_mean,winddirection_mean,winddirection_az_mean_angle,winddirection_el_mean_angle,precipitation_sum_all,pressure_mean_all,pressure_reduced_mean_all,global_radiation_short_wave_mean,global_radiation_long_wave_mean,reflex_radiation_short_wave_mean,reflex_radiation_long_wave_mean,albedo_mean_all,net_solar_rad_mean,net_far_infrared_rad_mean,sky_temp_mean,ground_temp_mean,total_net_rad_mean,precipitation_sum_730,precipitation_sum_550,wind_u_mean,wind_v_mean,rgs_roof_global_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_mean,rgs_roof_diffuse_radiation_short_wave_corrected_mean,rgs_roof_global_radiation_long_wave_mean,rgs_roof_direct_radiation_mean,rgs_roof_direct_rad_perpendicular_mean,rgs_roof_sunshine_duration_sum
2020-07-04,18.015972222222224,18.700694444444444,18.00486111111111,17.864583333333332,17.04861111111111,72.42361111111111,11.119356846945971,12.939583333333333,2.2069444444444444,1.9625000000000001,0.7625,241.1820532899511,242.9765728063959,27.497276123240045,0.4,999.9812499999999,1014.9715277777777,132.79861111111111,384.87245377117773,19.98611111111111,410.24745377117773,0.13908412827989233,173.0,-25.375,13.779101684576817,18.42846846008999,87.4375,1.1,1.0,1.93362703789456,1.0638093152380776,,,,,,,
2020-07-05,19.424999999999997,19.44861111111111,18.52847222222222,18.17361111111111,17.0,79.43819444444445,13.207100521630334,15.653472222222222,3.2270833333333333,2.988888888888889,0.8645833333333334,261.1532146313049,259.94441845266823,30.451513465955458,0.9,996.2784722222223,1011.1416666666667,107.40972222222223,388.6008062096571,16.131944444444443,413.6980284318793,0.1418645074662146,137.46391752577318,-25.09722222222222,14.430783391534094,19.081474730614293,66.18055555555556,0.2,0.3,3.1886911427000344,0.4963019612535564,,,,,,,
2020-07-06,14.42013888888889,15.346527777777778,17.15972222222222,17.345833333333335,16.946527777777778,71.54444444444444,8.79735923695862,9.318750000000001,3.236111111111111,3.1381944444444443,0.6715277777777778,274.6020226118839,272.77676048208014,28.216365713505862,3.7,1000.6854166666667,1015.875,174.3125,342.6980869393188,28.22222222222222,391.1355869393188,0.1586219205662618,218.5463917525773,-48.4375,5.594474857881754,14.977405456033722,97.65277777777777,3.7,3.7,3.225678040060396,-0.2596465007060795,,,,,,,
2020-07-07,14.648611111111112,15.774305555555555,16.445138888888888,16.544444444444444,16.581944444444446,70.69930555555555,8.622733755941645,9.026388888888889,1.7736111111111112,1.7340277777777777,0.41180555555555554,256.30815973424063,258.3029453099282,16.303184245176997,0.0,1004.4506944444444,1019.6902777777777,187.36111111111111,343.8163725105367,28.944444444444443,393.8997058438701,0.15843514909712023,232.5050505050505,-50.083333333333336,5.617746508538828,15.348896015339982,108.33333333333333,1.9,1.8,1.7232101190888593,0.4198133620152527,,,,,,,
2020-07-08,13.89236111111111,14.570138888888888,16.622916666666665,16.649305555555557,16.41111111111111,90.10833333333333,10.789551008431832,12.350000000000001,1.0506944444444446,1.0034722222222223,0.3361111111111111,236.6347585956621,243.2687917291991,12.789591451373232,3.0,1000.8826388888889,1016.1062499999999,82.34722222222223,377.8510417709542,10.583333333333334,393.38576399317645,0.1269457946949303,110.71578947368421,-15.534722222222221,12.554577274342163,15.432276702710888,56.22916666666666,3.7,3.8,0.8775207300825941,0.5778548120953316,,,,,,,
2020-07-09,17.774305555555557,18.40625,17.770833333333332,17.262500000000003,16.336111111111112,84.65625,12.677457329833878,15.061111111111112,1.9215277777777777,1.8145833333333334,0.5215277777777777,249.6564413211023,252.82688202282338,18.987675542200726,3.0,998.0402777777776,1013.0159722222221,144.10416666666666,388.9048575741756,20.770833333333332,410.41874646306445,0.13656009798250518,190.20212765957447,-21.51388888888889,14.591121484853549,18.465969017734572,101.81944444444444,0.4,0.4,1.8016723066694085,0.6680163921283204,,,,,,,
2020-07-10,16.025694444444444,16.297916666666666,17.626388888888886,17.487499999999997,16.549999999999997,80.79166666666667,11.03243550791089,12.753472222222221,2.2416666666666667,2.185416666666667,0.4826388888888889,273.52477261481624,274.461739772336,19.936422495414817,1.0,997.7937499999999,1012.8562499999999,107.49305555555556,372.4126077606073,15.48611111111111,398.0514966494962,0.14063029610393615,136.55102040816325,-25.63888888888889,11.42403499368452,16.271007616819674,66.36805555555556,1.0,1.0,2.2374261281510317,-0.13781787079884933,,,,,,,
2020-07-11,13.926388888888889,16.078472222222224,17.32986111111111,17.091666666666665,16.459027777777777,72.02708333333334,8.384057244032764,8.574305555555556,1.2604166666666667,1.2597222222222222,0.24375000000000002,268.7182605361328,274.83191308060486,10.454945236861517,0.0,1008.6701388888889,1024.0055555555555,238.53472222222223,328.6959541937803,36.78472222222222,392.02928752711364,0.15488409579943166,301.83505154639175,-63.333333333333336,2.588778555700473,14.90217713356496,138.41666666666666,0.0,0.0,1.2601012967398006,0.028193892348954537,,,,,,,
2020-07-12,15.168750000000001,18.361805555555556,18.765277777777776,17.98888888888889,16.506944444444443,67.55000000000001,8.235494058850305,8.32986111111111,1.03125,1.0541666666666667,0.22916666666666666,354.2825421873105,351.9602076920162,8.935913205943931,0.0,1011.8041666666666,1027.1298611111113,307.30555555555554,325.5091792700953,49.104166666666664,400.97445704787305,0.16369924269076805,385.69072164948454,-75.46527777777777,1.9820562955190182,16.403164324551256,182.73611111111111,0.0,0.0,0.10273615160589503,-1.0261198008289338,,,,,,,
2020-07-13,17.00347222222222,19.867361111111112,20.161805555555556,19.154861111111114,16.84722222222222,65.07638888888889,8.760585579792805,9.372916666666667,0.8756944444444444,0.9048611111111112,0.1909722222222222,230.30690519284593,338.329420710389,7.217965320798091,0.0,1007.2805555555556,1022.4409722222222,304.52777777777777,333.8090895620389,49.03472222222222,413.29520067315,0.16032066160121022,381.4742268041237,-79.48611111111111,3.7184085854717432,18.458115812630346,176.00694444444446,0.0,0.0,0.6738263248182886,0.5592842247129293,,,,,,,
